X,Y,codigo_oaci,nome,municipio,icon_url
-50.6038888888889,-27.2872222222222,SSKU,LAURO ANTÔNIO DA COSTA,CURITIBANOS,./0.png
-61.4508333333333,-11.4955555555556,SSKW,CACOAL,CACOAL,./0.png
-52.8155555555556,-28.3213888888889,SSKZ,CARAZINHO,CARAZINHO,./0.png
-55.0375,-28.3763888888889,SSLG,SÃO LUIZ GONZAGA,SÃO LUIZ GONZAGA,./0.png
-49.5427777777778,-27.1597222222222,SSLN,LONTRAS,LONTRAS,./0.png
-53.1497222222222,-22.9177777777778,SSLO,ATTILLIO ACCORSI,LOANDA,./0.png
-40.5305555555556,-12.2713888888889,SSLS,RUY BARBOSA,RUY BARBOSA,./0.png
-55.8933333333333,-29.8125,SSLT,GAUDÊNCIO MACHADO RAMOS,ALEGRETE,./0.png
-55.145,-21.6338888888889,SSMJ,MARACAJU,MARACAJU,./0.png
-51.6516666666667,-24.5294444444444,SSMR,MANOEL RIBAS,MANOEL RIBAS,./0.png
-50.9122222222222,-31.1041666666667,SSMT,MOSTARDAS,MOSTARDAS,./0.png
-54.185,-23.0413888888889,SSNB,ARIOSTO DA RIVA,NAVIRAÍ,./0.png
-51.4888888888889,-29.7197222222222,SSNG,MONTENEGRO,MONTENEGRO,./0.png
-51.0819444444444,-29.6991666666667,SSNH,NOVO HAMBURGO,NOVO HAMBURGO,./0.png
-51.6041666666667,-28.8025,SSNP,NOVA PRATA,NOVA PRATA,./0.png
-55.8302777777778,-21.1847222222222,SSNQ,NIOAQUE,NIOAQUE,./0.png
-53.5033333333333,-26.7811111111111,SSOE,HÉLIO WASUM,SÃO MIGUEL DO OESTE,./0.png
-51.4908333333333,-23.3558333333333,SSOG,ARAPONGAS,ARAPONGAS,./0.png
-48.7738888888889,-22.3063888888889,SSOI,PEDERNEIRAS,PEDERNEIRAS,./0.png
-44.9694444444444,-21.2438888888889,SSOL,LAVRAS,LAVRAS,./0.png
-50.2505555555556,-29.9022222222222,SSOS,OSÓRIO,OSÓRIO,./0.png
-52.6944444444444,-26.2172222222222,SBPO,JUVENAL LOUREIRO CARDOSO,PATO BRANCO,./0.png
-48.5311111111111,-25.5405555555556,SSPG,SANTOS DUMONT,PARANAGUÁ,./0.png
-52.4886111111111,-23.09,SSPI,EDU CHAVES,PARANAVAÍ,./0.png
-53.3288888888889,-27.9016666666667,SSPL,PALMEIRA DAS MISSÕES,PALMEIRA DAS MISSÕES,./0.png
-57.8791666666667,-21.7127777777778,SSPM,PORTO MURTINHO,PORTO MURTINHO,./0.png
-51.1994444444444,-19.6511111111111,SSPN,PARANAÍBA,PARANAÍBA,./0.png
-51.9755555555556,-26.4722222222222,SSPS,DIMORVAN CARRARO,PALMAS,./0.png
-53.8286111111111,-24.3433333333333,SSPT,BRASÍLIO MARQUES,PALOTINA,./0.png
-49.8188888888889,-23.6744444444444,SSQC,AGUINALDO PEREIRA LIMA,SIQUEIRA CAMPOS,./0.png
-39.2861111111111,-10.4652777777778,SSQP,MONTE SANTO,MONTE SANTO,./0.png
-49.9602777777778,-24.8075,SSQT,MAJOR NEODO S. PEREIRA,CASTRO,./0.png
-45.895,-12.1063888888889,SSQZ,LUÍS EDUARDO MAGALHÃES,LUÍS EDUARDO MAGALHÃES,./0.png
-53.5130555555556,-25.8011111111111,SSRE,REALEZA,REALEZA,./0.png
